tmc_code,date_local,demand_capacity_ratio,P_hr,length_mi,freeflow_speed_mph,network_link_id,road_order,source_5min_bins,mean_pm_travel_time_min,mean_pm_speed_mph,complete_pm_window,alpha,beta,f_d,n,reliability,calibration_scope,n_episodes,duration_r2,speed_r2,free_flow_travel_time_min,observed_daily_pm_tti,analysis_eligible,analysis_scope,demand_capacity_basis,log_dc,observed_delay_tti,log_observed_delay,log_qvdf_delay,qvdf_daily_tti,log_delay_residual,log_observed_delay_within_tmc,log_qvdf_delay_within_tmc,log_delay_residual_within_tmc,residual_interpretation
110-04154,2025-10-08,0.9919603669104776,4.75,2.619553,68.91,31922,857.0,48,6.7664583333333335,24.9175,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,2.966642551547281,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.008072125206607161,1.966642551547281,0.6763278002432747,-0.10289713857538363,1.9022197723198222,0.7792249388186583,0.09448170231587094,-0.03536180471916149,0.12984350703503245,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-09,1.1159656070623385,5.0,2.619553,68.91,31922,857.0,48,5.327083333333333,32.2525,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,2.3355722172192483,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.10972004543973395,1.3355722172192483,0.28935982714836833,-0.014666761625213048,1.9854402714081394,0.30402658877358135,-0.2924862707790354,0.05286857223100909,-0.3453548430100445,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-10,1.2448086772502018,6.25,2.619553,68.91,31922,857.0,48,5.565625,32.78270833333333,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,2.4401568941342284,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.2189818452163782,1.4401568941342284,0.3647520619127058,0.06717407488921986,2.0694816318683786,0.2975779870234859,-0.2170940360146979,0.13470940874544202,-0.3518034447601399,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-14,1.4557114669160969,7.0,2.619553,68.91,31922,857.0,48,7.246041666666667,22.50125,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,3.1769079893274417,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.3754947618097004,2.1769079893274417,0.7779055164659961,0.1844076189594799,2.2025058874083574,0.5934978975065163,0.19605941853859243,0.25194295281570206,-0.05588353427710957,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-15,1.2748540274883224,6.75,2.619553,68.91,31922,857.0,48,8.186666666666666,20.515833333333333,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,3.5893095755904407,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.24283168381165715,2.5893095755904407,0.9513912670434097,0.08503842222160815,2.0887588984304326,0.8663528448218015,0.369545169116006,0.1525737560778303,0.2169714130381757,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-17,0.9675726235093448,5.0,2.619553,68.91,31922,857.0,48,5.840208333333333,31.051041666666663,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,2.5605434479979343,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.03296479383653628,1.5605434479979343,0.44503412469800063,-0.12154260138044956,1.885553326751089,0.5665767260784502,-0.13681197322940308,-0.05400726752422742,-0.08280470570517562,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-21,0.875830329927175,4.25,2.619553,68.91,31922,857.0,48,6.475833333333333,27.244375,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,2.8392227923364532,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.13258289410329807,1.8392227923364532,0.6093430869174802,-0.19615997611230146,1.8218807428746726,0.8055030630297817,0.027496988990076465,-0.12862464225607934,0.15612163124615586,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-22,0.9453705271567944,4.5,2.619553,68.91,31922,857.0,48,6.6433333333333335,27.787916666666664,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,2.912660416999898,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.05617833610705342,1.912660416999898,0.6484951613708582,-0.13893034093595683,1.8702886498396079,0.787425502306815,0.06664906344345445,-0.07139500707973469,0.13804407052318912,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-23,1.0431001683862315,5.75,2.619553,68.91,31922,857.0,48,9.730833333333331,21.005,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,4.266324095497718,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.04219721012843177,3.266324095497718,1.1836652227841191,-0.06524368180225484,1.936839144908751,1.248908904586374,0.6018191248567154,0.002291652053967294,0.5995274728027481,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-27,1.068885402294714,5.25,2.619553,68.91,31922,857.0,48,7.425208333333334,22.38416666666667,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,3.255460672425156,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.06661642544963364,2.255460672425156,0.8133542414142134,-0.046952851768349305,1.9541323821844716,0.8603070931825627,0.2315081434868097,0.020582482087872833,0.21092566139893687,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-28,0.8986172449827834,4.25,2.619553,68.91,31922,857.0,48,6.460416666666667,29.543958333333332,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,2.832463607976883,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.10689809158565933,1.8324636079768828,0.6056612953601263,-0.1769211778493343,1.8378458227299967,0.7825824732094606,0.023815197432722535,-0.10938584399311217,0.13320104142583478,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-29,1.127278874155467,5.5,2.619553,68.91,31922,857.0,48,7.84625,21.57041666666667,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,3.4400594777047844,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.11980665267760342,2.4400594777047844,0.8920224151165361,-0.007111546759383705,1.9929136804523497,0.8991339618759199,0.3101763171891324,0.06042378709683843,0.24975253009229403,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-30,0.794899496354861,3.5,2.619553,68.91,31922,857.0,48,4.09,44.08833333333333,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,1.7931933425282864,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.22953959199886648,0.7931933425282864,-0.23168827555340538,-0.2687838691624932,1.764308428418839,0.03709559360908782,-0.8135343734808091,-0.20124853530627107,-0.612285838174538,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04154,2025-10-31,1.135020401931368,5.5,2.619553,68.91,31922,857.0,48,7.266875,22.88291666666667,True,0.9076913874084394,0.7490343073401137,4.807650431336081,1.1061377543776325,high,sensor_period,17,0.9004781809353635,0.1923463711648644,2.280847191989551,3.1860420222457804,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.12665062604174063,2.1860420222457804,0.7820926129208067,-0.001985175911123016,1.9980167932473185,0.7840777888319297,0.20024651499340296,0.06555015794509912,0.13469635704830385,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04156,2025-10-01,0.6384177621865236,2.75,0.456485,67.155,32831,853.0,48,0.6547916666666667,45.849583333333335,True,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,0.4078490060308242,1.6054756956234415,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.44876241025971203,0.6054756956234415,-0.5017408561448159,-1.7112607910021342,1.180637902344387,1.2095199348573185,0.06694704750675573,-0.24141759803027352,0.3083646455370296,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04156,2025-10-02,0.7969182170494788,3.25,0.456485,67.155,32831,853.0,48,0.6237499999999999,44.90895833333334,True,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,0.4078490060308242,1.5293650119938222,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.22700321894578043,0.5293650119938222,-0.63607708129795,-1.2106548981722107,1.2980020545098296,0.5745778168742607,-0.06738917764637842,0.25918829479965,-0.3265774724460282,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04156,2025-10-08,0.5386805298924205,2.25,0.456485,67.155,32831,853.0,48,0.5452083333333333,52.62916666666666,True,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,0.4078490060308242,1.3367896581121688,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.6186325927139518,0.33678965811216877,-1.0882967034032027,-2.0947308688322037,1.1231033701498496,1.006434165429001,-0.5196087997516311,-0.624887675860343,0.10527887610871212,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04156,2025-10-14,1.0652866507812129,4.75,0.456485,67.155,32831,853.0,48,0.9547916666666666,31.469791666666666,True,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,0.4078490060308242,2.341042034057344,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.06324391860861195,1.341042034057344,0.29344694911577746,-0.555442248018494,1.573818435007651,0.8488891971342714,0.8621348527673491,0.9144009449533668,-0.05226609218601752,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04156,2025-10-17,0.9511485989559684,4.0,0.456485,67.155,32831,853.0,48,0.680625,43.142500000000005,True,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,0.4078490060308242,1.668816130321917,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.05008497316915742,0.6688161303219169,-0.4022460991981852,-0.8112743094347094,1.4442915404332894,0.40902821023652414,0.1664418044533864,0.6585688835371514,-0.49212707908376474,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04156,2025-10-20,0.3631293037484641,1.5,0.456485,67.155,32831,853.0,48,0.519375,54.515416666666674,True,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,0.4078490060308242,1.2734492234136938,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-1.0129962994710793,0.2734492234136938,-1.296639329150624,-2.9849794053241716,1.0505405444045448,1.6883400761735476,-0.7279514254990523,-1.5151362123523109,0.7871847868532588,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04156,2025-10-21,0.8298914971408684,3.5,0.456485,67.155,32831,853.0,48,0.6958333333333333,42.43625,True,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,0.4078490060308242,1.7061052572008573,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.18646031307322883,0.7061052572008573,-0.34799096308200506,-1.1191321185661272,1.3265630897145337,0.7711411554841221,0.22069694056956657,0.35071107440573357,-0.13001413383616678,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04156,2025-10-28,0.6402908414396333,2.75,0.456485,67.155,32831,853.0,48,0.7139583333333334,43.2275,True,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,0.4078490060308242,1.7505457234812392,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.4458327661054631,0.7505457234812392,-0.28695470573877835,-1.7046473238496698,1.1818365042665564,1.4176926181108915,0.2817331979127933,-0.23480413087780905,0.5165373287906027,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110-04156,2025-10-30,0.8608447644608359,3.5,0.456485,67.155,32831,853.0,48,0.581875,47.73041666666666,True,0.4974745004559507,2.2574301875102205,4.251688471153309,1.026446374806519,medium,sensor_period,9,0.9877782021521078,0.3697061670521058,0.4078490060308242,1.4266922105874236,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.14984108760328124,0.42669221058742357,-0.8516923439643609,-1.0364667735470245,1.3547057262008395,0.18477442958266366,-0.28300444031278926,0.4333764194248362,-0.7163808597376252,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04149,2025-10-01,0.6376805883683246,3.25,1.012366,71.0155,38973,868.0,48,2.3175,40.685833333333335,True,1.1452974152429738,1.387334158311515,4.616443846178282,1.0253764005301145,medium,sensor_period,7,0.8855935478651031,0.3389389264578172,0.8553338355711078,2.7094684012501404,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.4499177661927083,1.7094684012501404,0.5361824457205578,-0.488521930889777,1.6135325678624528,1.0247043766103348,0.7328465727298602,-0.06511348218589891,0.797960054915759,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04149,2025-10-06,0.7580528580262885,3.25,1.012366,71.0155,38973,868.0,48,1.4883333333333333,48.685833333333335,True,1.1452974152429738,1.387334158311515,4.616443846178282,1.0253764005301145,medium,sensor_period,7,0.8855935478651031,0.3389389264578172,0.8553338355711078,1.7400613321225282,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.2770021622271197,0.7400613321225282,-0.3010222149717226,-0.24863020700324984,1.7798683099083925,-0.052392007968472765,-0.10435808796242022,0.17477824170062828,-0.27913632966304847,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04149,2025-10-14,0.5633436476675066,2.5,1.012366,71.0155,38973,868.0,48,1.2210416666666666,55.75416666666666,True,1.1452974152429738,1.387334158311515,4.616443846178282,1.0253764005301145,medium,sensor_period,7,0.8855935478651031,0.3389389264578172,0.8553338355711078,1.4275615156173205,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.5738654504317974,0.4275615156173205,-0.8496571047765179,-0.6604787870782751,1.5166039319826439,-0.18917831769824278,-0.6529929777672155,-0.237070338374397,-0.4159226393928185,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04149,2025-10-16,0.8381786582487616,4.0,1.012366,71.0155,38973,868.0,48,1.93875,40.78145833333333,True,1.1452974152429738,1.387334158311515,4.616443846178282,1.0253764005301145,medium,sensor_period,7,0.8855935478651031,0.3389389264578172,0.8553338355711078,2.2666588405280303,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.176524005222183,1.2666588405280303,0.23638259951464083,-0.10923342762611374,1.8965211202744423,0.34561602714075457,0.4330467265239432,0.3141750210777644,0.1188717054461789,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04149,2025-10-22,0.4972548056079069,2.25,1.012366,71.0155,38973,868.0,48,1.3966666666666667,53.45583333333334,True,1.1452974152429738,1.387334158311515,4.616443846178282,1.0253764005301145,medium,sensor_period,7,0.8855935478651031,0.3389389264578172,0.8553338355711078,1.6328907013647018,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.6986526969249072,0.6328907013647018,-0.45745753941703654,-0.8336003966598051,1.434482158760841,0.3761428572427686,-0.2607934124077341,-0.410191947955927,0.1493985355481929,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04149,2025-10-27,0.7015538921534805,3.0,1.012366,71.0155,38973,868.0,48,1.2520833333333334,54.2725,True,1.1452974152429738,1.387334158311515,4.616443846178282,1.0253764005301145,medium,sensor_period,7,0.8855935478651031,0.3389389264578172,0.8553338355711078,1.4638533883057665,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.3544575582229762,0.4638533883057665,-0.768186750164971,-0.3560867236138465,1.700411875352271,-0.41210002655112443,-0.5715226231556686,0.06732172509003159,-0.6388443482457001,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04149,2025-10-31,0.7479157024843782,3.5,1.012366,71.0155,38973,868.0,48,1.92875,39.90979166666667,True,1.1452974152429738,1.387334158311515,4.616443846178282,1.0253764005301145,medium,sensor_period,7,0.8855935478651031,0.3389389264578172,0.8553338355711078,2.254967498990813,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,-0.290465004571866,1.2549674989908128,0.22710967502993262,-0.26730766805607914,1.7654375345553337,0.49441734308601176,0.423773802039235,0.15610078064779898,0.2676730213914361,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04152,2025-10-07,2.3502109353158835,13.0,0.550806,67.51,39077,862.0,48,2.4145833333333333,13.852083333333333,True,1.3720282505263373,0.128772030419787,5.710518265242897,1.0357456005986634,high,sensor_period,10,0.9115418484979488,0.0957852568744352,0.4895328099540808,4.932423903435249,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.8545050838367926,3.9324239034352493,1.3692560050790892,0.4263264745040372,2.5316207286355255,0.942929530575052,0.00231665754146948,0.021946003529658586,-0.019629345988188884,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04152,2025-10-08,2.3774660479730323,13.5,0.550806,67.51,39077,862.0,48,2.490208333333334,13.495833333333332,True,1.3720282505263373,0.128772030419787,5.710518265242897,1.0357456005986634,high,sensor_period,10,0.9115418484979488,0.0957852568744352,0.4895328099540808,5.086907930781841,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.8660352347773045,4.086907930781841,1.4077886769933927,0.42781123545169353,2.533896508356369,0.9799774415416992,0.04084932945577302,0.023430764477314903,0.017418564978458284,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04152,2025-10-10,1.9883946828236885,12.5,0.550806,67.51,39077,862.0,48,2.459166666666667,13.71375,True,1.3720282505263373,0.128772030419787,5.710518265242897,1.0357456005986634,high,sensor_period,10,0.9115418484979488,0.0957852568744352,0.4895328099540808,5.023497131678144,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.6873276211368814,4.023497131678144,1.3921514577115741,0.40479869319174144,2.4990007106330183,0.9873527645198327,0.025212110173954416,0.00041822221736281806,0.024793887956591765,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04152,2025-10-17,2.362578085965847,15.0,0.550806,67.51,39077,862.0,48,2.4922916666666666,13.474375,True,1.3720282505263373,0.128772030419787,5.710518265242897,1.0357456005986634,high,sensor_period,10,0.9115418484979488,0.0957852568744352,0.4895328099540808,5.091163689110948,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.8597534321002228,4.091163689110948,1.4088294501514342,0.4270023149662693,2.5326562097673397,0.981827135185165,0.04189010261381454,0.022621843991890656,0.01926825862192405,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04152,2025-10-20,1.866030927955784,10.75,0.550806,67.51,39077,862.0,48,2.3477083333333333,14.295833333333334,True,1.3720282505263373,0.128772030419787,5.710518265242897,1.0357456005986634,high,sensor_period,10,0.9115418484979488,0.0957852568744352,0.4895328099540808,4.7958140610709075,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.6238136767549911,3.7958140610709075,1.3338988966899492,0.39661987361371603,2.4867906542614264,0.9372790230762331,-0.03304045084767049,-0.007760597360662591,-0.025279853487007786,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
110N04152,2025-10-21,1.310815759486405,7.5,0.550806,67.51,39077,862.0,48,2.4075,13.848541666666668,True,1.3720282505263373,0.128772030419787,5.710518265242897,1.0357456005986634,high,sensor_period,10,0.9115418484979488,0.0957852568744352,0.4895328099540808,4.917954325116285,True,accepted PM congestion episodes,episode vehicle demand divided by four-hour PM capacity,0.27064966057037504,3.917954325116285,1.3655696617505395,0.3511422261784165,2.420689370763742,1.014427435572123,-0.0013696857870801882,-0.05323824479596212,0.0518685590088821,day-to-day log-delay variation not reproduced by calibrated D/C and QVDF
