corridor_period,tmc_code,minute,mean_tt,p95_tt,days,start_latitude,length_mi,distance_end_mi,distance_start_mi,t0_min,tti,pti95,gamma95
I-95 NB AM,110+04147,490,1.7104347826086959,1.65,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.1217253013353636,1.0820913875362748,0.9646670055922724
I-95 NB AM,110+04147,495,1.733913043478261,1.656,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.137122649142204,1.086026265309134,0.9550651955867602
I-95 NB AM,110+04147,500,1.7404347826086957,1.648,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.1413996901996595,1.0807797616119883,0.9468898326255308
I-95 NB AM,110+04147,505,1.722608695652174,1.656,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.1297091113092808,1.086026265309134,0.9613326602725895
I-95 NB AM,110+04147,510,1.6691304347826088,1.6669999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0946373746381446,1.093240207892709,0.9987236259442561
I-95 NB AM,110+04147,515,1.663913043478261,1.6689999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0912157417921802,1.0945518338169953,1.0030572249804022
I-95 NB AM,110+04147,520,1.6665217391304348,1.7049999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0929265582151624,1.1181611004541505,1.0230889642577614
I-95 NB AM,110+04147,525,1.6430434782608696,1.65,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.077529210408322,1.0820913875362748,1.0042339243186027
I-95 NB AM,110+04147,530,1.6169565217391304,1.7859999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0604210461784995,1.1712819503877494,1.1045442323205161
I-95 NB AM,110+04147,535,1.6008695652173912,1.6569999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0498710115701089,1.086682078271277,1.0350624660510592
I-95 NB AM,110+04147,540,1.605217391304348,1.704,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0527223722750794,1.1175052874920073,1.0615384615384615
I-95 NB AM,110+04147,545,1.6139130434782607,1.7309999999999999,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0584250936850201,1.1352122374698737,1.0725484913793104
I-95 NB AM,110+04147,550,1.602608695652174,1.6589999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0510115558520972,1.0879937041955634,1.0351871947911013
I-95 NB AM,110+04147,555,1.5995652173913044,1.6589999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.049015603358618,1.0879937041955634,1.0371568360967653
I-95 NB AM,110+04147,560,1.6134782608695653,1.7049999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0581399576145232,1.1181611004541505,1.056723255187281
I-95 NB AM,110+04147,565,1.5995652173913044,1.658,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.049015603358618,1.0873378912334202,1.036531666213645
I-95 NB AM,110+04147,570,1.603913043478261,1.6689999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0518669640635883,1.0945518338169953,1.0405801030089454
I-95 NB AM,110+04147,575,1.6021739130434782,1.688,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0507264197816002,1.1070122800977162,1.0535685210312076
I-95 NB AM,110+04147,580,1.591304347826087,1.6489999999999998,23,38.52594,1.82979,2.3285183333333332,0.4987283333333332,1.5248249999999999,1.0435980180191742,1.0814355745741313,1.0362568306010926
