pair,facility,tmc_code,length_mi,weekdays,mean_T_min,T95_min,TTI,PTI95,gamma95,buffer_index
I-95 SB PM,ML,110-04664,1.4834533333333333,23,1.2716576086956521,1.2845208333333333,1.0143863666915856,1.0246472101882393,1.0101153207826712,0.010115320782671189
I-95 SB PM,ML,110-04665,2.3932599999999997,23,2.046041666666667,2.0676041666666665,1.011653270248764,1.0223147215745703,1.0105386416861823,0.010538641686182348
I-95 SB PM,ML,110-04667,0.2846666666666667,23,0.2389583333333333,0.24183333333333332,0.9933279664324746,1.0052790788446526,1.0120313862249346,0.012031386224934604
I-95 SB PM,ML,110-04668,0.23450000000000001,23,0.20310688405797103,0.20652083333333332,0.9671756383712906,0.9834325396825396,1.0168086339918831,0.01680863399188315
I-95 SB PM,ML,110-17777,5.913471666666666,23,4.916847826086957,4.9561874999999995,1.011616389200444,1.019710326674996,1.0080009948049076,0.008000994804907569
I-95 SB PM,GP,110N04146,0.21596666666666667,23,0.28658514492753623,0.43935416666666655,1.5260360395122705,2.339515164377218,1.5330667846644959,0.5330667846644959
I-95 SB PM,GP,110N04147,0.44187000000000004,23,0.5610778985507245,0.7275416666666665,1.3967585226555255,1.8111567504771384,1.2966856626253167,0.2966856626253167
I-95 SB PM,GP,110N04148,0.5379166666666666,23,0.7271829710144927,1.0549374999999999,1.4645048215628824,2.1245836560805578,1.4507181026643912,0.45071810266439116
I-95 SB PM,GP,110N04149,1.034215,23,1.2972010869565218,2.03025,1.3797142718411295,2.1593914224798514,1.5651004461947755,0.5651004461947755
I-95 SB PM,GP,110N04150,0.62814,23,0.5958786231884057,0.6431041666666667,1.027693149808598,1.1091415616829936,1.0792536292467891,0.07925362924678914
I-95 SB PM,GP,110N04151,0.5699000000000001,23,0.5520561594202898,0.5707708333333333,1.0009791742427903,1.034912314051198,1.033899945854595,0.03389994585459499
I-95 SB PM,GP,110N04152,0.5528049999999999,23,2.43365036231884,2.497333333333333,4.622485108555065,4.743444795180942,1.0261676746999164,0.026167674699916432
I-95 SB PM,GP,110N04153,0.7832458333333332,23,4.866702898550725,5.213625,6.524181586426051,6.989256778682726,1.071284832602497,0.07128483260249707
I-95 SB PM,GP,110N04154,0.20824,23,0.628840579710145,0.9136041666666666,3.2714366180976615,4.752870952853544,1.4528390758239222,0.45283907582392224
I-95 SB PM,GP,110N04155,0.6379,23,1.0855163043478258,1.7465624999999996,1.8435115165022906,2.9661535899043727,1.6089693844343755,0.6089693844343755
I-95 SB PM,GP,110N04156,0.739875,23,1.0066394927536233,1.4238124999999997,1.4285811351800028,2.020615813482007,1.4144214589725819,0.41442145897258187
I-95 SB PM,GP,110N04157,0.44206666666666666,23,0.749891304347826,1.0384375,1.7811473448165074,2.4665043922485292,1.384784026670532,0.384784026670532
I-95 SB PM,GP,110N04158,0.52962,23,0.8920742753623186,1.415333333333333,1.740512224880221,2.761434823290493,1.5865644514393056,0.5865644514393056
I-95 SB PM,ML,110N04658,0.7625,23,0.637572463768116,0.6454583333333334,1.0033927298645762,1.0158032786885247,1.0123685855543558,0.012368585554355827
I-95 SB PM,ML,110N04659,0.43079999999999996,23,0.35822463768115936,0.36197916666666663,0.9978402163820596,1.008298514391829,1.0104809345605341,0.010480934560534116
I-95 SB PM,ML,110N04660,0.9706666666666667,23,0.8088949275362317,0.8187291666666667,1.000007465360726,1.0121651785714287,1.0121576224496656,0.012157622449665562
I-95 SB PM,ML,110N04662,1.0023333333333333,23,0.868659420289855,0.8773749999999999,0.9966328566677751,1.0066324409710674,1.0100333680917621,0.01003336809176214
I-95 SB PM,ML,110N04663,1.07689,23,0.9339945652173912,0.9450416666666667,1.0118585241639875,1.0238265849911423,1.0118278005683086,0.011827800568308566
I-95 SB PM,ML,110N04664,0.8930716666666668,23,0.77080615942029,0.7801458333333333,1.006944779710107,1.0191456888180555,1.012116760872886,0.012116760872886045
I-95 SB PM,ML,110N04665,0.38765083333333333,23,0.33235507246376816,0.3357916666666667,1.014538863149077,1.0250293255026899,1.0103401286383953,0.010340128638395285
I-95 SB PM,ML,110N04666,0.5172183333333333,23,0.43236413043478267,0.4384166666666667,1.0031294775998645,1.0171719873296579,1.0139987011082479,0.013998701108247857
