group,tmc_code,days,mean_dc,mu_ln_dc,sigma_ln_dc,skew_ln_dc,qq_r2_ln_dc,qq_r2_dc,shapiro_p_ln_dc
I-395 SB PM,110N04126,15,1.0781574156580873,0.06950118077855852,0.11163049368863301,-0.32300978100026,0.9637680404075825,0.969745023252011,0.6805152502878419
I-395 SB PM,110N04127,20,0.8269762238177604,-0.20860508825886886,0.20847302142806917,-1.6684375850000044,0.8169272671774253,0.8821346444297727,0.0019114045120083363
I-95 NB AM,110+04151,15,1.0982051981422984,0.059059876765643345,0.29368694576506293,-1.842253604014863,0.8048716655922743,0.9101792446387472,0.006230813514508078
I-95 NB AM,110+04152,18,1.4717115789639128,0.3572400354463952,0.26277479975724477,-1.4294348662088372,0.8449557568603239,0.9083686703821333,0.007333002401520638
I-95 NB AM,110+04154,16,0.8216488290115916,-0.22777527199436343,0.2596360895146208,-0.09902260196658322,0.9721946017981327,0.9501878497854049,0.8989752838117362
I-95 NB AM,110+04155,16,0.9982557216872939,-0.023541976329081518,0.2137456242824284,0.31489081408225544,0.9585871555146322,0.924827510661147,0.535689331980621
I-95 NB AM,110+04156,12,1.3998018735647166,0.3130584104471698,0.22943661969953796,-0.4753550589359727,0.9026938514964297,0.9231706060554078,0.08755309576340464
I-95 NB AM,110P04151,19,1.379399886094332,0.28417814872031405,0.2773403831267235,0.2796090200770586,0.919715053583936,0.8266747983834146,0.1823737864287126
I-95 NB AM,110P04154,15,0.8162877605506456,-0.24972979774965912,0.3196116508360821,-0.13262046346486384,0.9647383893283865,0.9505394998919919,0.5465648918694712
I-95 NB AM,110P04155,14,1.2486082598946904,0.1900409977748452,0.2657507491883808,-0.23686278771800914,0.9356368419544858,0.9376112374204147,0.25010589576379416
I-95 NB AM,110P04156,17,1.1963938698134113,0.15174608840027815,0.24593054314809615,-0.3844157024464528,0.9684806823373941,0.9802185788317693,0.5506314026060308
I-95 NB AM,110P04157,13,1.0060609186016862,-0.04839541509222683,0.34765961993926464,-0.12269778380979211,0.9498868877477725,0.9449414059737221,0.2978359374304971
I-95 NB PM,110+04147,9,1.2777983300064137,0.15217876451058823,0.47487301322297226,-0.5102753878194273,0.9715587447967121,0.9801772019730622,0.8858368218714374
I-95 NB PM,110+04148,13,1.3503661356737398,0.15556892286030793,0.6162995980467996,-1.0096064989530271,0.8807772856973319,0.9607533360596769,0.06147668392088155
I-95 NB PM,110+04151,11,1.3951642649054081,0.26284578798215485,0.4040504839412629,-0.32469874319606584,0.8467179853988217,0.8480234710016907,0.018785844003157085
I-95 NB PM,110+04152,12,1.4781861831442173,0.2756163974744759,0.5504624807437736,-1.1527383115777863,0.8731427820889787,0.9585154929500439,0.0648715250122813
I-95 NB PM,110P04146,9,1.0182481856340515,-0.16441846368822866,0.6606095348830888,-0.1502708575541714,0.9751401538074963,0.9344452312722736,0.8239562387673748
I-95 NB PM,110P04147,11,1.1252543546371572,-0.016918806133378764,0.5878233005993934,-0.8450960520770173,0.9150918755996783,0.9674776090736714,0.2346461272795518
I-95 NB PM,110P04150,9,1.1127711738289106,0.017277161671499855,0.46627127168224614,-0.4243178842443463,0.8612216001196945,0.8748100349677365,0.04806207677730505
I-95 NB PM,110P04151,13,1.5003995759438267,0.2889017496378991,0.5544305533569283,-1.2058233342383107,0.8789125403271221,0.9673192777223928,0.07578497314744563
I-95 NB PM,110P04156,10,0.9983303361550757,-0.0933420697484163,0.48497216959107053,-0.9844844369223305,0.8686236675023538,0.922264759769149,0.06977803385603083
I-95 SB PM,110-04146,17,0.7997201322074657,-0.26125649018184266,0.2783224739115453,0.4425102763102327,0.9660449768446384,0.8924144594177875,0.8620478885664347
I-95 SB PM,110-04147,14,0.7824883674886698,-0.32628647020884294,0.41281542212948563,0.2316785686528332,0.9663390284778419,0.8718913108979954,0.9364208873586077
I-95 SB PM,110-04148,11,0.8267429150046053,-0.21928678730777218,0.25494549842576386,-0.15351206837688253,0.9463675941953206,0.9455847140250572,0.3477693214940142
I-95 SB PM,110-04152,13,1.828252291481428,0.5865832712985923,0.2012712880421721,-1.9760332175577682,0.794941375923282,0.8895332342612414,0.011464268877201344
I-95 SB PM,110-04153,18,1.2170492133742765,0.17106140838936218,0.22278774016067548,1.0179094500284287,0.7975925133126539,0.6774381046047145,0.00533239648396268
I-95 SB PM,110-04154,17,1.0548859783710578,0.0391377347058638,0.17375512444517066,0.15765191858090957,0.9837003303012757,0.9689981511323575,0.9068609853367221
I-95 SB PM,110-04156,9,0.7427342406283786,-0.34181886030367137,0.33028769721397977,-0.9914748974315534,0.9263755119106272,0.9792746344336164,0.49955196529117124
I-95 SB PM,110N04146,8,0.6029337114989042,-0.5290783503407553,0.240913018160837,-1.5414371532044664,0.8494248767292916,0.9200027313036336,0.1435817026899524
I-95 SB PM,110N04147,11,0.628908838022944,-0.4766944147841675,0.16998222516792988,-0.2895652643793536,0.9596757653244151,0.9669707439763675,0.5969708640933181
I-95 SB PM,110N04152,10,2.007336623455166,0.6840798489615147,0.17382021827494007,-1.4450442820629923,0.8108137346590193,0.8602176797481315,0.030223045027213766
I-95 SB PM,110N04153,15,1.7162737609623553,0.4991036288291805,0.31683952079348754,-1.4674959204627043,0.8581037178599067,0.9452757832353231,0.02887742010167373
I-95 SB PM,110N04154,19,1.182647075639311,0.14316533317612354,0.2199465233525937,0.9853693169587385,0.8973372148947526,0.7843097220619488,0.12336562030495557
I-95 SB PM,110N04155,12,0.8031045334305819,-0.28824870369238104,0.3798693184750108,0.5183436048880516,0.955407111806334,0.8910765812007375,0.5555114806615203
I-95 SB PM,110N04156,9,0.8000954588303322,-0.24749165411174065,0.23928389015537951,-0.554751570296567,0.9461232732270949,0.9621446923283505,0.49618984950606315
I-95 SB PM,110N04157,14,0.9199809122724283,-0.10528027309602805,0.22507137580367076,-1.0698489313212947,0.8582754364687335,0.9025305171576969,0.020560442478291852
I-95 SB PM,110N04158,16,0.7004004284671573,-0.3993231135766853,0.3047308891698949,-0.04065799724646948,0.9767149858343575,0.9469623089555732,0.9645501303892574
