control_volume_id,date_local,threshold_multiplier,episode_identified,duration_bins,duration_h
I5N-CV39-44,2025-07-23,0.95,True,14,1.1666666666666667
I5N-CV39-44,2025-07-23,1.0,True,15,1.25
I5N-CV39-44,2025-07-23,1.05,True,15,1.25
I5N-CV39-44,2025-07-23,1.1,True,15,1.25
I5N-CV39-45,2025-07-23,0.9,True,16,1.3333333333333333
I5N-CV39-45,2025-07-23,0.95,True,16,1.3333333333333333
I5N-CV39-45,2025-07-23,1.0,True,33,2.75
I5N-CV39-45,2025-07-23,1.05,True,38,3.1666666666666665
I5N-CV39-45,2025-07-23,1.1,True,38,3.1666666666666665
I5N-CV39-43,2025-07-24,0.9,True,25,2.0833333333333335
I5N-CV39-43,2025-07-24,0.95,True,25,2.0833333333333335
I5N-CV39-43,2025-07-24,1.0,True,25,2.0833333333333335
I5N-CV39-43,2025-07-24,1.05,True,25,2.0833333333333335
I5N-CV39-43,2025-07-24,1.1,True,25,2.0833333333333335
I5N-CV39-44,2025-07-24,0.9,True,43,3.5833333333333335
I5N-CV39-44,2025-07-24,0.95,True,43,3.5833333333333335
I5N-CV39-44,2025-07-24,1.0,True,43,3.5833333333333335
I5N-CV39-44,2025-07-24,1.05,True,43,3.5833333333333335
I5N-CV39-44,2025-07-24,1.1,True,43,3.5833333333333335
I5N-CV39-45,2025-07-24,0.9,True,44,3.6666666666666665
I5N-CV39-45,2025-07-24,0.95,True,44,3.6666666666666665
I5N-CV39-45,2025-07-24,1.0,True,44,3.6666666666666665
I5N-CV39-45,2025-07-24,1.05,True,45,3.75
I5N-CV39-45,2025-07-24,1.1,True,45,3.75
I5N-CV39-43,2025-07-25,0.9,True,6,0.5
I5N-CV39-43,2025-07-25,0.95,True,7,0.5833333333333334
I5N-CV39-43,2025-07-25,1.0,True,19,1.5833333333333333
I5N-CV39-43,2025-07-25,1.05,True,19,1.5833333333333333
I5N-CV39-43,2025-07-25,1.1,True,20,1.6666666666666667
I5N-CV39-44,2025-07-25,0.9,True,21,1.75
I5N-CV39-44,2025-07-25,0.95,True,21,1.75
I5N-CV39-44,2025-07-25,1.0,True,21,1.75
I5N-CV39-44,2025-07-25,1.05,True,21,1.75
I5N-CV39-44,2025-07-25,1.1,True,22,1.8333333333333333
I5N-CV39-45,2025-07-25,0.9,True,29,2.4166666666666665
I5N-CV39-45,2025-07-25,0.95,True,37,3.0833333333333335
I5N-CV39-45,2025-07-25,1.0,True,37,3.0833333333333335
I5N-CV39-45,2025-07-25,1.05,True,37,3.0833333333333335
I5N-CV39-45,2025-07-25,1.1,True,37,3.0833333333333335
