segment_id,segment_index,date_local,valid_joint_cells,joint_coverage,capacity_vph_link,capacity_speed_kmh,downstream_D60_vph,downstream_dc,upstream_D60_vph,upstream_dc,net_arrival_D60_vph,net_arrival_dc,storage_implied_arrival_D60_vph,storage_implied_arrival_dc
I5N-S69,69,2025-07-11,48,1.0,7308.0,71.76,6444.0,0.8817733990147784,6860.0,0.9386973180076629,6374.0,0.8721948549534756,6392.175002258277,0.8746818558098355
I5N-S69,69,2025-07-14,48,1.0,7308.0,71.76,6343.0,0.8679529282977558,6881.0,0.9415708812260536,6702.0,0.9170771756978654,6349.718333764635,0.8688722405260858
I5N-S69,69,2025-07-15,48,1.0,7308.0,71.76,5654.0,0.7736726874657909,6068.0,0.8303229337712096,5731.0,0.7842090859332239,5659.507126954731,0.7744262625827492
I5N-S69,69,2025-07-16,48,1.0,7308.0,71.76,5290.0,0.723864258347017,5650.0,0.7731253420908594,4996.0,0.6836343732895457,5274.492757872352,0.7217423040328889
I5N-S69,69,2025-07-17,48,1.0,7308.0,71.76,6174.0,0.8448275862068966,6703.0,0.9172140120415982,6512.0,0.8910782703886152,6182.9068567953545,0.8460463679249254
I5N-S69,69,2025-07-18,48,1.0,7308.0,71.76,6190.0,0.8470169677066228,6695.0,0.9161193212917351,6351.0,0.8690476190476191,6173.979207106131,0.8448247409833239
I5N-S69,69,2025-07-21,48,1.0,7308.0,71.76,6348.0,0.8686371100164204,6906.0,0.944991789819376,6762.0,0.9252873563218391,6349.407773178594,0.8688297445509844
I5N-S69,69,2025-07-22,48,1.0,7308.0,71.76,6064.0,0.8297755883962781,6589.0,0.9016146688560481,6265.0,0.85727969348659,6071.287819644113,0.8307728269901633
I5N-S69,69,2025-07-23,48,1.0,7308.0,71.76,5716.0,0.7821565407772304,6251.0,0.8553639846743295,5885.0,0.8052818828680898,5723.1306588439575,0.7831322740618442
I5N-S69,69,2025-07-24,48,1.0,7308.0,71.76,6020.0,0.8237547892720306,6574.0,0.8995621237000547,6305.0,0.8627531472359059,6029.964374637621,0.8251182778650276
I5N-S69,69,2025-07-25,48,1.0,7308.0,71.76,6262.0,0.8568691844553914,6866.0,0.9395183360700602,6522.0,0.8924466338259441,6208.292275216096,0.8495200157657493
I5N-S70,70,2025-07-07,48,1.0,8004.0,71.34,6856.0,0.8565717141429285,6263.0,0.7824837581209395,4998.0,0.6244377811094453,6872.944523930965,0.8586887211308053
I5N-S70,70,2025-07-08,48,1.0,8004.0,71.34,6390.0,0.7983508245877061,5624.0,0.7026486756621689,4370.0,0.5459770114942529,6299.772562605437,0.7870780313100246
I5N-S70,70,2025-07-09,48,1.0,8004.0,71.34,6632.0,0.8285857071464268,6197.0,0.7742378810594702,4874.0,0.6089455272363818,6659.978191383597,0.8320812333062965
I5N-S70,70,2025-07-10,48,1.0,8004.0,71.34,6595.0,0.8239630184907546,6215.0,0.7764867566216892,4996.0,0.6241879060469765,6632.83959116651,0.8286906035940168
I5N-S70,70,2025-07-11,48,1.0,8004.0,71.34,7066.0,0.882808595702149,6444.0,0.8050974512743628,5016.0,0.6266866566716641,6974.430291268956,0.8713681023574408
I5N-S70,70,2025-07-14,48,1.0,8004.0,71.34,6872.0,0.8585707146426786,6343.0,0.7924787606196901,5096.0,0.6366816591704147,6890.601190198083,0.8608947014240483
I5N-S70,70,2025-07-15,48,1.0,8004.0,71.34,6159.0,0.7694902548725637,5654.0,0.7063968015992004,4380.0,0.5472263868065967,6113.512738422115,0.7638071887084101
I5N-S70,70,2025-07-16,48,1.0,8004.0,71.34,5912.0,0.7386306846576711,5290.0,0.6609195402298851,4061.0,0.5073713143428286,5783.475982772667,0.7225732112409629
I5N-S70,70,2025-07-17,48,1.0,8004.0,71.34,6676.0,0.8340829585207397,6174.0,0.7713643178410795,4819.0,0.6020739630184908,6693.540768792151,0.8362744588695841
I5N-S70,70,2025-07-18,48,1.0,8004.0,71.34,6912.0,0.863568215892054,6190.0,0.7733633183408296,4872.0,0.6086956521739131,6855.5051064253885,0.8565098833614928
I5N-S70,70,2025-07-21,48,1.0,8004.0,71.34,6867.0,0.8579460269865068,6348.0,0.7931034482758621,5004.0,0.6251874062968515,6880.139291721236,0.8595876176563263
I5N-S70,70,2025-07-22,48,1.0,8004.0,71.34,6539.0,0.8169665167416292,6064.0,0.7576211894052973,4789.0,0.5983258370814593,6558.164155822433,0.819360839058275
I5N-S70,70,2025-07-23,48,1.0,8004.0,71.34,6202.0,0.7748625687156422,5716.0,0.7141429285357321,4478.0,0.5594702648675662,6217.4085024909355,0.7767876689768785
I5N-S70,70,2025-07-24,48,1.0,8004.0,71.34,6453.0,0.8062218890554723,6020.0,0.7521239380309845,4752.0,0.5937031484257871,6485.427240775057,0.8102732684626508
I5N-S70,70,2025-07-25,48,1.0,8004.0,71.34,7061.0,0.882183908045977,6262.0,0.7823588205897052,4793.0,0.5988255872063968,6974.2931650058335,0.8713509701406589
