link_id,date_local,threshold_multiplier,vc_mph,threshold_speed_mph,demand_capacity_ratio,capacity_vph_link,episode_identified,duration_bins,duration_h,congested_passed_volume_veh,capacity_equivalent_hours,episode_start_local,episode_end_local,minimum_speed_mph,minimum_speed_time_local,touches_data_start,touches_data_end
L405S-114,2025-09-05,0.950000,45.468734,43.195297,0.953593,6600.300000,True,12,1.000000,5785.000000,0.876475,2025-09-05T06:55:00-07:00,2025-09-05T07:55:00-07:00,35.700000,2025-09-05T07:10:00-07:00,False,False
L405S-114,2025-09-08,0.950000,45.468734,43.195297,0.926928,6600.300000,True,31,2.583333,11998.500000,1.817872,2025-09-08T06:45:00-07:00,2025-09-08T09:20:00-07:00,24.550000,2025-09-08T08:45:00-07:00,False,False
L405S-114,2025-09-09,0.950000,45.468734,43.195297,0.859128,6600.300000,True,40,3.333333,15060.500000,2.281790,2025-09-09T06:35:00-07:00,2025-09-09T09:55:00-07:00,19.650000,2025-09-09T08:50:00-07:00,False,False
L405S-114,2025-09-10,0.950000,45.468734,43.195297,0.937836,6600.300000,True,39,3.250000,14343.000000,2.173083,2025-09-10T06:45:00-07:00,2025-09-10T10:00:00-07:00,19.800000,2025-09-10T08:35:00-07:00,False,False
L405S-114,2025-09-11,0.950000,45.468734,43.195297,0.903898,6600.300000,True,38,3.166667,14421.000000,2.184901,2025-09-11T06:50:00-07:00,2025-09-11T10:00:00-07:00,24.100000,2025-09-11T08:05:00-07:00,False,False
L405S-114,2025-09-12,0.950000,45.468734,43.195297,0.930109,6600.300000,True,12,1.000000,5835.000000,0.884051,2025-09-12T06:50:00-07:00,2025-09-12T07:50:00-07:00,33.350000,2025-09-12T07:35:00-07:00,False,False
L405S-114,2025-09-15,0.950000,45.468734,43.195297,0.977834,6600.300000,True,24,2.000000,11007.000000,1.667651,2025-09-15T06:45:00-07:00,2025-09-15T08:45:00-07:00,28.000000,2025-09-15T07:35:00-07:00,False,False
L405S-114,2025-09-16,0.950000,45.468734,43.195297,0.931170,6600.300000,True,40,3.333333,14201.000000,2.151569,2025-09-16T06:40:00-07:00,2025-09-16T10:00:00-07:00,20.600000,2025-09-16T09:00:00-07:00,False,False
L405S-114,2025-09-17,0.950000,45.468734,43.195297,0.825872,6600.300000,True,39,3.250000,13965.000000,2.115813,2025-09-17T06:45:00-07:00,2025-09-17T10:00:00-07:00,20.900000,2025-09-17T07:40:00-07:00,False,False
L405S-114,2025-09-18,0.950000,45.468734,43.195297,0.950033,6600.300000,True,36,3.000000,13793.000000,2.089753,2025-09-18T06:40:00-07:00,2025-09-18T09:40:00-07:00,21.950000,2025-09-18T08:05:00-07:00,False,False
L405S-114,2025-09-19,0.950000,45.468734,43.195297,0.929579,6600.300000,True,18,1.500000,7836.000000,1.187219,2025-09-19T06:55:00-07:00,2025-09-19T08:25:00-07:00,26.800000,2025-09-19T07:55:00-07:00,False,False
L405S-114,2025-09-22,0.950000,45.468734,43.195297,1.020484,6600.300000,True,23,1.916667,9962.500000,1.509401,2025-09-22T06:50:00-07:00,2025-09-22T08:45:00-07:00,21.500000,2025-09-22T07:55:00-07:00,False,False
L405S-114,2025-09-23,0.950000,45.468734,43.195297,0.914580,6600.300000,True,39,3.250000,13769.000000,2.086117,2025-09-23T06:40:00-07:00,2025-09-23T09:55:00-07:00,21.600000,2025-09-23T08:05:00-07:00,False,False
L405S-114,2025-09-24,0.950000,45.468734,43.195297,0.890717,6600.300000,True,38,3.166667,13436.500000,2.035741,2025-09-24T06:45:00-07:00,2025-09-24T09:55:00-07:00,21.850000,2025-09-24T07:55:00-07:00,False,False
L405S-114,2025-09-25,0.950000,45.468734,43.195297,0.754814,6600.300000,True,39,3.250000,13667.000000,2.070663,2025-09-25T06:40:00-07:00,2025-09-25T09:55:00-07:00,19.400000,2025-09-25T06:55:00-07:00,False,False
L405S-115,2025-09-05,0.950000,46.743294,44.406129,0.923115,7668.600000,True,13,1.083333,6943.000000,0.905380,2025-09-05T06:50:00-07:00,2025-09-05T07:55:00-07:00,24.300000,2025-09-05T07:40:00-07:00,False,False
L405S-115,2025-09-08,0.950000,46.743294,44.406129,0.836007,7668.600000,True,32,2.666667,12474.000000,1.626633,2025-09-08T06:45:00-07:00,2025-09-08T09:25:00-07:00,21.700000,2025-09-08T08:45:00-07:00,False,False
L405S-115,2025-09-09,0.950000,46.743294,44.406129,0.842918,7668.600000,True,41,3.416667,17509.000000,2.283207,2025-09-09T06:30:00-07:00,2025-09-09T09:55:00-07:00,10.700000,2025-09-09T08:05:00-07:00,False,False
L405S-115,2025-09-10,0.950000,46.743294,44.406129,0.927288,7668.600000,True,42,3.500000,17828.000000,2.324805,2025-09-10T06:40:00-07:00,2025-09-10T10:10:00-07:00,6.200000,2025-09-10T08:35:00-07:00,False,False
L405S-115,2025-09-11,0.950000,46.743294,44.406129,0.908380,7668.600000,True,39,3.250000,16304.000000,2.126073,2025-09-11T06:45:00-07:00,2025-09-11T10:00:00-07:00,11.200000,2025-09-11T08:10:00-07:00,False,False
L405S-115,2025-09-12,0.950000,46.743294,44.406129,0.910466,7668.600000,True,13,1.083333,7062.000000,0.920898,2025-09-12T06:45:00-07:00,2025-09-12T07:50:00-07:00,22.900000,2025-09-12T07:35:00-07:00,False,False
L405S-115,2025-09-15,0.950000,46.743294,44.406129,0.926636,7668.600000,True,24,2.000000,11952.000000,1.558563,2025-09-15T06:45:00-07:00,2025-09-15T08:45:00-07:00,18.400000,2025-09-15T07:40:00-07:00,False,False
L405S-115,2025-09-16,0.950000,46.743294,44.406129,0.914900,7668.600000,True,39,3.250000,15270.000000,1.991237,2025-09-16T06:45:00-07:00,2025-09-16T10:00:00-07:00,8.200000,2025-09-16T08:10:00-07:00,False,False
L405S-115,2025-09-17,0.950000,46.743294,44.406129,0.860913,7668.600000,True,42,3.500000,16178.000000,2.109642,2025-09-17T06:40:00-07:00,2025-09-17T10:10:00-07:00,13.000000,2025-09-17T08:15:00-07:00,False,False
L405S-115,2025-09-18,0.950000,46.743294,44.406129,0.915161,7668.600000,True,36,3.000000,15439.000000,2.013275,2025-09-18T06:40:00-07:00,2025-09-18T09:40:00-07:00,8.100000,2025-09-18T07:55:00-07:00,False,False
L405S-115,2025-09-19,0.950000,46.743294,44.406129,0.907467,7668.600000,True,25,2.083333,12181.000000,1.588426,2025-09-19T06:50:00-07:00,2025-09-19T08:55:00-07:00,15.600000,2025-09-19T07:50:00-07:00,False,False
L405S-115,2025-09-22,0.950000,46.743294,44.406129,0.947239,7668.600000,True,24,2.000000,11506.000000,1.500404,2025-09-22T06:45:00-07:00,2025-09-22T08:45:00-07:00,12.300000,2025-09-22T07:40:00-07:00,False,False
L405S-115,2025-09-23,0.950000,46.743294,44.406129,0.895731,7668.600000,True,39,3.250000,14979.000000,1.953290,2025-09-23T06:40:00-07:00,2025-09-23T09:55:00-07:00,9.100000,2025-09-23T08:00:00-07:00,False,False
L405S-115,2025-09-24,0.950000,46.743294,44.406129,0.838745,7668.600000,True,39,3.250000,14739.000000,1.921994,2025-09-24T06:40:00-07:00,2025-09-24T09:55:00-07:00,15.600000,2025-09-24T08:30:00-07:00,False,False
L405S-115,2025-09-25,0.950000,46.743294,44.406129,0.757113,7668.600000,True,39,3.250000,14980.000000,1.953420,2025-09-25T06:40:00-07:00,2025-09-25T09:55:00-07:00,10.300000,2025-09-25T08:15:00-07:00,False,False
L405S-132,2025-09-05,0.950000,45.596602,43.316772,0.913527,8068.000000,True,12,1.000000,6987.000000,0.866014,2025-09-05T06:55:00-07:00,2025-09-05T07:55:00-07:00,37.333333,2025-09-05T07:40:00-07:00,False,False
L405S-132,2025-09-08,0.950000,45.596602,43.316772,0.883862,8068.000000,True,31,2.583333,13974.333333,1.732069,2025-09-08T06:50:00-07:00,2025-09-08T09:25:00-07:00,21.433333,2025-09-08T07:45:00-07:00,False,False
L405S-132,2025-09-09,0.950000,45.596602,43.316772,0.934267,8068.000000,True,36,3.000000,18012.666667,2.232606,2025-09-09T06:40:00-07:00,2025-09-09T09:40:00-07:00,22.866667,2025-09-09T08:00:00-07:00,False,False
