mean_dc,mu_ln_dc,sigma_ln_dc,expected_tti,shrp2_tti95,tti_50,gamma_50,delay_dominant_gamma_50,tti_80,gamma_80,delay_dominant_gamma_80,tti_90,gamma_90,delay_dominant_gamma_90,tti_95,gamma_95,delay_dominant_gamma_95,empirical_support,sigma_model,alpha,beta
0.68,-0.3863678767443239,0.037560509377250154,1.1404567020433098,1.4823436886922,1.140145819264717,0.9997274050141176,0.9977866290887494,1.1482219330232288,1.0068088783782903,1.0552855852868064,1.1526270150627058,1.010671438027933,1.086648147381698,1.156363336649968,1.0139476006218902,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.69,-0.3717690773231713,0.037560509377250154,1.144138342816732,1.4941721598825166,1.1438193112015456,0.999721159930362,0.9977866290887494,1.1521071154616254,1.0069648680991454,1.0552855852868064,1.1566276631884698,1.0109159180357425,1.086648147381698,1.1604619209631704,1.0142671367050349,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.7,-0.3573803398710717,0.037560509377250154,1.1478614267259413,1.5060951366176498,1.14753415454513,0.9997148852873777,0.9977866290887494,1.1560360322438272,1.0071215961505062,1.0552855852868064,1.1606733454209588,1.0111615552162607,1.086648147381698,1.1646066418216472,1.014588185216284,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.71,-0.34319570487911527,0.037560509377250154,1.151625818240372,1.5181111451688611,1.1512902140648842,0.9997085822754472,0.9977866290887494,1.1600085403463818,1.007279032801486,1.0552855852868064,1.1647639144861344,1.0114083029727805,1.086648147381698,1.16879734834608,1.0149106852536054,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.72,-0.32920946290437536,0.037560509377250154,1.1554313841859445,1.5302187250528236,1.155087356881492,0.9997022520686549,0.9977866290887494,1.164024499232603,1.0074371487258091,1.0552855852868064,1.1688992256706296,1.011656115342733,1.086648147381698,1.173033892280507,1.0152345767437885,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.73,-0.3154161407720395,0.037560509377250154,1.1592779936717532,1.5424164289574933,1.158925452393758,0.9996958958248844,0.9977866290887494,1.1680837707752045,1.0075959150018547,1.0552855852868064,1.1730791367420845,1.0119049469977597,1.086648147381698,1.1773161279107087,1.0155598004425357,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.74,-0.30181048871626087,0.037560509377250154,1.1631655180200133,1.5547028226730053,1.1628043722087087,0.999689514685821,0.9977866290887494,1.1721862191823746,1.007755303112593,1.0552855852868064,1.1773035078730225,1.0121547532436102,1.086648147381698,1.1816439119862203,1.0158862979343315,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.75,-0.28838746838412016,0.037560509377250154,1.1670938306990792,1.5670764850270196,1.1667239900747604,0.99968310977696,0.9977866290887494,1.1763317109270923,1.0079152849454098,1.0552855852868064,1.1815722015680654,1.0124054900198673,1.086648147381698,1.186017103645766,1.0162140116320828,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.76,-0.27514224163409956,0.037560509377250154,1.171062807259362,1.5795360078239864,1.1706841818177773,0.9996766822076172,0.9977866290887494,1.1805201146795001,1.0080758327918133,1.0552855852868064,1.1858850825942981,1.0126571138994882,1.086648147381698,1.1904355643459184,1.016542884776517,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.77,-0.26207016006674677,0.037560509377250154,1.1750723252719824,1.5920799957878389,1.1746848252798605,0.9996702330709455,0.9977866290887494,1.1847513012421662,1.0082369193470229,1.0552855852868064,1.1902420179146058,1.0129095820881597,1.086648147381698,1.1948991577928023,1.0168728614353426,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.78,-0.24916675523083887,0.037560509377250154,1.179122264270008,1.6047070665076713,1.1787258002607155,0.9996637634439562,0.9977866290887494,1.1890251434880734,1.0083985177094388,1.0552855852868064,1.194642876623819,1.0131628524234675,1.086648147381698,1.1994077498766806,1.017203886502161,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.79,-0.2364277294534091,0.037560509377250154,1.1832125056921354,1.617415850385986,1.1828069884614592,0.9996572743875463,0.9977866290887494,1.1933415163011876,1.0085606013799921,1.0552855852868064,1.1990875298875179,1.0134168833738755,1.086648147381698,1.2039612086092555,1.0175359056951336,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.8,-0.22384894724654897,0.037560509377250154,1.1873429328286849,1.6302049905891516,1.1869282734307336,0.9996507669465271,0.9977866290887494,1.1977002965194656,1.0087231442613682,1.0552855852868064,1.2035758508833443,1.0136716340375116,1.086648147381698,1.2085594040635477,1.0178688655553938,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.81,-0.2114264272479918,0.037560509377250154,1.191513430769784,1.6430731429997079,1.1910895405130044,0.9996442421496619,0.9977866290887494,1.202101362880176,1.0088861206571138,1.0552855852868064,1.208107714744699,1.013927064140766,1.086648147381698,1.2132022083162135,1.0182027134452167,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.82,-0.19915633465617757,0.037560509377250154,1.1957238863556277,1.6560189761702233,1.1952906767989313,0.9996377010097066,0.9977866290887494,1.206544595967407,1.0090495052706183,1.0552855852868064,1.212682998506689,1.0141831340366962,1.086648147381698,1.2178894953921695,1.0185373975459326,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.83,-0.18703497412383274,0.037560509377250154,1.199974188128704,1.6690411712784117,1.199531571077699,0.999631144523454,0.9977866290887494,1.2110298781616533,1.0092132732039762,1.0552855852868064,1.2173015810542154,1.0144398047032432,1.086648147381698,1.2226211412114096,1.0188728668555966,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.84,-0.17505878307711706,0.037560509377250154,1.2042642262878882,1.682138422083244,1.2038121137912134,0.999624573671786,0.9977866290887494,1.2155570935913709,1.0093773999567293,1.0552855852868064,1.2219633430720898,1.0146970377412594,1.086648147381698,1.2273970235378997,1.0192090711864104,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
0.85,-0.1632243254301142,0.037560509377250154,1.208593892644308,1.6953094348818276,1.2081321969900647,0.9996179894197271,0.9977866290887494,1.220126128086402,1.0095418614244875,1.0552855852868064,1.226668166997074,1.0149547953723488,1.086648147381698,1.2322170219304447,1.019545961161901,1.113249381305801,True,constant,0.27795665535834296,1.7723568133959584
